Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
2446,0.25409,0.674432219,0.99893,0.94547,0.84842,0.9493,0.98034,0.47148,0.94349,0.87193,0.95507,0.98394,0.93481,0,75,100,50,100,25
1803,0.25467,0.673750249,0.9474,0.94174,0.8602,0.97148,0.98207,0.47932,0.94981,0.86108,0.96454,0.98638,0.93255,0,50,100,50,1,75
1804,0.25467,0.673750249,0.9474,0.94174,0.8602,0.97148,0.98207,0.47932,0.94981,0.86108,0.96454,0.98638,0.93255,0,50,100,50,1,100
1596,0.24514,0.64504059,0.95945,0.93908,0.84915,0.9788,0.98684,0.47856,0.9408,0.86692,0.92728,0.98736,0.92824,0,50,50,75,100,25
2438,0.23938,0.642398791,0.97907,0.94128,0.83251,0.92639,0.98296,0.46882,0.94318,0.86944,0.97832,0.97952,0.93002,0,75,100,50,50,75
2439,0.23938,0.642398791,0.97907,0.94128,0.83251,0.92639,0.98296,0.46882,0.94318,0.86944,0.97832,0.97952,0.93002,0,75,100,50,50,100
2428,0.23874,0.642109708,0.97378,0.94086,0.83792,0.91825,0.98296,0.46814,0.94545,0.86915,0.98435,0.97875,0.92963,0,75,100,50,1,75
2429,0.23874,0.642109708,0.97378,0.94086,0.83792,0.91825,0.98296,0.46814,0.94545,0.86915,0.98435,0.97875,0.92963,0,75,100,50,1,100
2431,0.23685,0.641932041,0.97497,0.93973,0.82682,0.94214,0.97959,0.46737,0.94587,0.86803,0.9733,0.97699,0.92838,0,75,100,50,25,25
1223,0.24215,0.638706066,0.97141,0.93546,0.85357,0.96323,0.99206,0.47947,0.94935,0.86187,0.91408,0.98513,0.9248,0,25,100,75,100,75
1224,0.24215,0.638706066,0.97141,0.93546,0.85357,0.96323,0.99206,0.47947,0.94935,0.86187,0.91408,0.98513,0.9248,0,25,100,75,100,100
1583,0.23818,0.635918435,0.94214,0.93299,0.8281,0.99206,0.99284,0.47486,0.9417,0.8619,0.95102,0.9833,0.92174,0,50,50,75,25,75
1584,0.23818,0.635918435,0.94214,0.93299,0.8281,0.99206,0.99284,0.47486,0.9417,0.8619,0.95102,0.9833,0.92174,0,50,50,75,25,100
2432,0.23392,0.632789823,0.97832,0.94093,0.82912,0.92837,0.97581,0.46896,0.95244,0.86879,0.95836,0.9784,0.92979,0,75,100,50,25,50
1213,0.23511,0.628607806,0.95109,0.93106,0.82979,0.96623,0.99249,0.47676,0.94657,0.85933,0.95481,0.97963,0.91984,0,25,100,75,50,75
1214,0.23511,0.628607806,0.95109,0.93106,0.82979,0.96623,0.99249,0.47676,0.94657,0.85933,0.95481,0.97963,0.91984,0,25,100,75,50,100
1207,0.23406,0.627398793,0.94417,0.93036,0.82281,0.95731,0.99288,0.47584,0.95027,0.8592,0.97403,0.97965,0.91903,0,25,100,75,25,50
1187,0.23979,0.624628366,0.85935,0.9377,0.86444,0.99033,0.99384,0.49105,0.96757,0.84533,0.94567,0.98958,0.93054,0,25,100,50,50,50
1206,0.23273,0.62407484,0.94841,0.92973,0.81308,0.95921,0.99361,0.47617,0.94002,0.85818,0.98719,0.97791,0.91846,0,25,100,75,25,25
1598,0.23533,0.623796872,0.95965,0.93655,0.83731,0.9991,0.98684,0.47777,0.95141,0.86453,0.88332,0.98723,0.9255,0,50,50,75,100,75
1599,0.23533,0.623796872,0.95965,0.93655,0.83731,0.9991,0.98684,0.47777,0.95141,0.86453,0.88332,0.98723,0.9255,0,50,50,75,100,100
1588,0.23346,0.621551457,0.95209,0.93223,0.84988,0.99099,0.99402,0.47681,0.93829,0.86039,0.90121,0.9833,0.92109,0,50,50,75,50,75
1589,0.23346,0.621551457,0.95209,0.93223,0.84988,0.99099,0.99402,0.47681,0.93829,0.86039,0.90121,0.9833,0.92109,0,50,50,75,50,100
1083,0.23238,0.620290704,0.9765,0.92783,0.83561,0.9305,0.99637,0.4804,0.94754,0.85322,0.94691,0.98136,0.91729,0,25,75,75,25,75
1084,0.23238,0.620290704,0.9765,0.92783,0.83561,0.9305,0.99637,0.4804,0.94754,0.85322,0.94691,0.98136,0.91729,0,25,75,75,25,100
1212,0.23107,0.619212165,0.94907,0.93081,0.82245,0.95107,0.99131,0.47642,0.94448,0.85922,0.96929,0.97884,0.91958,0,25,100,75,50,50
2218,0.23049,0.618557051,0.90045,0.93717,0.82428,0.99655,0.98449,0.46989,0.94457,0.8711,0.966,0.97795,0.92471,0,75,50,75,75,75
2219,0.23049,0.618557051,0.90045,0.93717,0.82428,0.99655,0.98449,0.46989,0.94457,0.8711,0.966,0.97795,0.92471,0,75,50,75,75,100
1592,0.23162,0.618399104,0.9502,0.933,0.82461,0.99127,0.9911,0.47588,0.9475,0.86156,0.91633,0.98288,0.92174,0,50,50,75,75,50
1801,0.23311,0.618383567,0.94858,0.94039,0.86302,0.91768,0.98449,0.47812,0.95569,0.86023,0.92845,0.98648,0.93097,0,50,100,50,1,25
2425,0.23153,0.61819557,0.97772,0.94224,0.83526,0.91228,0.98492,0.46935,0.95349,0.87004,0.94372,0.97868,0.93123,0,75,100,50,1,1
2843,0.22585,0.617934538,0.92822,0.92926,0.81475,0.98969,0.98928,0.46835,0.93371,0.8598,0.97482,0.9761,0.91747,0,100,50,75,75,75
2844,0.22585,0.617934538,0.92822,0.92926,0.81475,0.98969,0.98928,0.46835,0.93371,0.8598,0.97482,0.9761,0.91747,0,100,50,75,75,100
1211,0.23047,0.617002033,0.94989,0.93085,0.82125,0.96291,0.99176,0.47659,0.93704,0.85942,0.95877,0.9822,0.91952,0,25,100,75,50,25
1721,0.23004,0.616900042,0.90698,0.93813,0.8152,0.99782,0.98316,0.4699,0.93614,0.87202,0.97188,0.97968,0.9256,0,50,75,75,100,25
1077,0.23021,0.616168644,0.97718,0.92826,0.83677,0.93543,0.99541,0.47934,0.94819,0.853,0.93265,0.98135,0.91799,0,25,75,75,1,50
3050,0.22202,0.615649351,0.99128,0.93268,0.81874,0.88486,0.97959,0.46525,0.94496,0.85839,0.99799,0.97464,0.9218,0,100,100,50,1,1
2091,0.23276,0.614837172,0.98275,0.93327,0.85484,0.9961,0.99558,0.48012,0.95751,0.85809,0.83149,0.98883,0.92297,0,75,25,75,75,25
1808,0.23216,0.614790902,0.95367,0.9402,0.85926,0.90257,0.98574,0.47823,0.95626,0.86078,0.94038,0.98316,0.93059,0,50,100,50,25,75
1809,0.23216,0.614790902,0.95367,0.9402,0.85926,0.90257,0.98574,0.47823,0.95626,0.86078,0.94038,0.98316,0.93059,0,50,100,50,25,100
2086,0.22804,0.614635414,0.98203,0.93047,0.84658,0.99429,0.98381,0.47931,0.94643,0.85506,0.85624,0.98611,0.92019,0,75,25,75,50,25
1222,0.23252,0.613971087,0.96622,0.93484,0.83137,0.93758,0.99249,0.47915,0.93822,0.8619,0.94519,0.98335,0.92397,0,25,100,75,100,50
1823,0.23754,0.613901554,0.9274,0.94623,0.87065,0.96065,0.99266,0.48124,0.95564,0.86399,0.88426,0.98981,0.93749,0,50,100,50,100,75
1824,0.23754,0.613901554,0.9274,0.94623,0.87065,0.96065,0.99266,0.48124,0.95564,0.86399,0.88426,0.98981,0.93749,0,50,100,50,100,100
2221,0.23001,0.612835002,0.90872,0.94008,0.82001,0.99227,0.98381,0.47069,0.93794,0.87351,0.95622,0.98303,0.92788,0,75,50,75,100,25
1076,0.22771,0.61182466,0.97034,0.92799,0.84105,0.93825,0.99324,0.47842,0.94977,0.85374,0.92425,0.98087,0.91743,0,25,75,75,1,25
1718,0.22743,0.611717144,0.90072,0.93809,0.83434,0.9994,0.98011,0.46982,0.93733,0.87238,0.94392,0.98131,0.92552,0,50,75,75,75,75
1719,0.22743,0.611717144,0.90072,0.93809,0.83434,0.9994,0.98011,0.46982,0.93733,0.87238,0.94392,0.98131,0.92552,0,50,75,75,75,100
1097,0.23214,0.6113459,0.99718,0.93268,0.8453,0.94319,0.99658,0.48226,0.94286,0.85647,0.88823,0.98446,0.92249,0,25,75,75,100,50
2437,0.22664,0.61072346,0.98088,0.94277,0.83094,0.93058,0.97581,0.46885,0.94713,0.87061,0.92096,0.97915,0.93172,0,75,100,50,50,50
1591,0.23003,0.610443783,0.95262,0.93263,0.83664,0.97426,0.99615,0.47687,0.94169,0.86092,0.91037,0.98328,0.92143,0,50,50,75,75,25
2090,0.22934,0.610226669,0.98157,0.93189,0.83576,0.99204,0.99115,0.48022,0.94973,0.85688,0.86052,0.98454,0.92149,0,75,25,75,75,1
1078,0.22871,0.61012676,0.97306,0.92915,0.84411,0.92977,0.99467,0.48008,0.95143,0.85439,0.92008,0.98224,0.91878,0,25,75,75,1,75
1079,0.22871,0.61012676,0.97306,0.92915,0.84411,0.92977,0.99467,0.48008,0.95143,0.85439,0.92008,0.98224,0.91878,0,25,75,75,1,100
2223,0.22674,0.606953639,0.90893,0.93831,0.81447,0.99421,0.98288,0.47089,0.93757,0.87157,0.95513,0.98143,0.92606,0,75,50,75,100,75
2224,0.22674,0.606953639,0.90893,0.93831,0.81447,0.99421,0.98288,0.47089,0.93757,0.87157,0.95513,0.98143,0.92606,0,75,50,75,100,100
2121,0.22129,0.605973033,0.9028,0.92274,0.82159,0.99674,0.99637,0.47119,0.93602,0.85351,0.97329,0.97503,0.91134,0,75,25,100,100,25
2075,0.22622,0.605146379,0.9701,0.92976,0.84464,0.99908,0.99324,0.47874,0.94296,0.8551,0.85677,0.98411,0.9194,0,75,25,75,1,1
1577,0.22651,0.605125154,0.94119,0.93212,0.82845,0.97532,0.99402,0.47496,0.9411,0.86091,0.92418,0.9815,0.92094,0,50,50,75,1,50
2440,0.22504,0.604093267,0.99345,0.94294,0.84091,0.85907,0.97581,0.47083,0.94691,0.87003,0.9614,0.98058,0.93196,0,75,100,50,75,1
2211,0.22334,0.603454833,0.88946,0.93462,0.80869,0.99997,0.98684,0.46783,0.93987,0.86977,0.9783,0.97628,0.92167,0,75,50,75,50,25
1080,0.22479,0.603288127,0.98176,0.92856,0.83273,0.94834,0.9916,0.47965,0.94624,0.85311,0.9017,0.98215,0.91829,0,25,75,75,25,1
2830,0.2173,0.602475449,0.91378,0.92581,0.79492,0.99866,0.9891,0.46545,0.94152,0.85737,0.98084,0.97142,0.91379,0,100,50,75,25,1
