Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
1106,0.26916,0.708747523,0.99999,0.94216,0.85032,0.99093,0.98568,0.47662,0.95807,0.86764,0.9462,0.98484,0.93167,0,50,94,58,80,55
3370,0.2651,0.705419207,0.99735,0.94048,0.84537,0.99505,0.98504,0.47397,0.95301,0.86547,0.95433,0.98302,0.93003,0,55,97,53,1,85
3371,0.2651,0.705419207,0.99735,0.94048,0.84537,0.99505,0.98504,0.47397,0.95301,0.86547,0.95433,0.98302,0.93003,0,55,97,53,1,100
699,0.26727,0.704579632,0.99615,0.93897,0.84605,0.99434,0.992,0.47641,0.9478,0.86472,0.96219,0.98185,0.92823,0,50,91,58,60,70
3794,0.26662,0.70387974,0.98684,0.94092,0.84484,0.99129,0.98805,0.47615,0.95407,0.86525,0.96511,0.98303,0.93054,0,55,100,53,50,55
711,0.26574,0.703340669,0.99997,0.94293,0.84697,0.98188,0.97822,0.47698,0.9546,0.86835,0.95295,0.98601,0.93251,0,50,91,58,80,70
709,0.26515,0.700920406,0.99755,0.94123,0.84184,0.99828,0.98381,0.47656,0.95304,0.86704,0.94667,0.98457,0.93058,0,50,91,58,80,40
3369,0.26049,0.696724629,0.99815,0.94077,0.83935,0.99671,0.97959,0.47387,0.94979,0.86574,0.95004,0.98288,0.93036,0,55,97,53,1,70
1905,0.26291,0.696331447,0.99407,0.94161,0.84545,0.99641,0.98256,0.47561,0.94488,0.868,0.95082,0.98294,0.93082,0,50,100,58,90,70
1791,0.25975,0.692701834,0.97968,0.93933,0.8476,0.98974,0.98283,0.47616,0.95096,0.8622,0.96111,0.98174,0.92932,0,50,100,53,10,70
5797,0.26226,0.692037426,0.98895,0.94442,0.84701,0.95274,0.98178,0.47536,0.95174,0.86929,0.97912,0.98531,0.93412,0,60,100,53,90,40
712,0.26163,0.689814676,1,0.94283,0.84684,0.99022,0.98178,0.47713,0.95347,0.86844,0.92764,0.98646,0.93233,0,50,91,58,80,85
713,0.26163,0.689814676,1,0.94283,0.84684,0.99022,0.98178,0.47713,0.95347,0.86844,0.92764,0.98646,0.93233,0,50,91,58,80,100
1878,0.25978,0.688355595,0.98068,0.93998,0.83621,0.99508,0.98684,0.47464,0.95259,0.86737,0.95884,0.98252,0.92893,0,50,100,58,50,25
661,0.25823,0.686488733,0.98611,0.93858,0.8388,0.99542,0.98684,0.47502,0.95236,0.86489,0.94955,0.98232,0.9278,0,50,91,58,1,40
1477,0.25917,0.686345878,0.97739,0.93991,0.83858,0.99531,0.98842,0.47415,0.95779,0.86744,0.95137,0.98235,0.92887,0,50,97,58,40,40
1478,0.25768,0.686236816,0.98213,0.9388,0.84061,0.99401,0.98574,0.47424,0.95047,0.8657,0.95563,0.98066,0.92786,0,50,97,58,40,55
1102,0.26011,0.685616567,0.99429,0.94212,0.84898,0.99465,0.98449,0.47649,0.95139,0.86826,0.9243,0.98565,0.93146,0,50,94,58,70,85
1103,0.26011,0.685616567,0.99429,0.94212,0.84898,0.99465,0.98449,0.47649,0.95139,0.86826,0.9243,0.98565,0.93146,0,50,94,58,70,100
1484,0.25735,0.685441558,0.98206,0.93823,0.83645,0.99871,0.98574,0.47466,0.94954,0.86552,0.95555,0.98147,0.9271,0,50,97,58,50,55
5370,0.25852,0.684940301,0.99909,0.94113,0.8431,0.95415,0.98684,0.47423,0.95425,0.86678,0.96622,0.98212,0.93047,0,60,97,53,40,25
1504,0.25884,0.684937216,0.99385,0.94238,0.84682,0.99782,0.9813,0.47585,0.95294,0.86864,0.92161,0.98548,0.9317,0,50,97,58,80,85
1505,0.25884,0.684937216,0.99385,0.94238,0.84682,0.99782,0.9813,0.47585,0.95294,0.86864,0.92161,0.98548,0.9317,0,50,97,58,80,100
1513,0.25987,0.684770917,0.99524,0.94366,0.85119,0.99635,0.98047,0.47736,0.94784,0.86873,0.92053,0.98535,0.93335,0,50,97,58,100,40
1413,0.25875,0.684325176,0.97176,0.94077,0.8533,0.98451,0.9848,0.47784,0.95422,0.86313,0.94856,0.98443,0.93087,0,50,97,53,40,70
1864,0.25807,0.683808864,0.97918,0.93909,0.83539,0.9998,0.99083,0.47384,0.94982,0.866,0.95583,0.98071,0.92824,0,50,100,58,20,85
1865,0.25807,0.683808864,0.97918,0.93909,0.83539,0.9998,0.99083,0.47384,0.94982,0.866,0.95583,0.98071,0.92824,0,50,100,58,20,100
1489,0.25634,0.683699982,0.99057,0.94087,0.84148,0.98963,0.97546,0.47641,0.9505,0.86746,0.94304,0.98277,0.93003,0,50,97,58,60,40
1099,0.2588,0.683598315,0.98924,0.94076,0.83945,0.99772,0.98792,0.47507,0.95346,0.86744,0.936,0.98274,0.92989,0,50,94,58,70,40
3380,0.25709,0.683513881,0.99412,0.94063,0.84657,0.9769,0.98362,0.47507,0.95388,0.86525,0.94417,0.98137,0.93027,0,55,97,53,20,55
5749,0.25607,0.683279608,0.99343,0.94046,0.84288,0.98111,0.98435,0.47263,0.94833,0.86636,0.95174,0.97985,0.92981,0,60,100,53,10,40
680,0.2572,0.682339358,0.98319,0.93844,0.84127,0.99611,0.98944,0.47469,0.94672,0.86534,0.94955,0.98169,0.92747,0,50,91,58,30,55
2980,0.25694,0.681137082,0.99345,0.94111,0.83965,0.96746,0.98625,0.47459,0.95199,0.86596,0.95896,0.98239,0.93068,0,55,94,53,10,85
2981,0.25694,0.681137082,0.99345,0.94111,0.83965,0.96746,0.98625,0.47459,0.95199,0.86596,0.95896,0.98239,0.93068,0,55,94,53,10,100
681,0.25693,0.679650055,0.98624,0.93911,0.8448,0.97887,0.99043,0.47501,0.95229,0.86559,0.9479,0.98305,0.92829,0,50,91,58,30,70
682,0.25693,0.679650055,0.98624,0.93911,0.8448,0.97887,0.99043,0.47501,0.95229,0.86559,0.9479,0.98305,0.92829,0,50,91,58,30,85
683,0.25693,0.679650055,0.98624,0.93911,0.8448,0.97887,0.99043,0.47501,0.95229,0.86559,0.9479,0.98305,0.92829,0,50,91,58,30,100
3368,0.25393,0.679554508,0.99241,0.93969,0.84083,0.97142,0.98145,0.47411,0.95529,0.8641,0.95051,0.98252,0.92933,0,55,97,53,1,55
1460,0.25559,0.679429029,0.97637,0.93862,0.82767,0.99433,0.98888,0.47356,0.95324,0.86601,0.96469,0.97963,0.92758,0,50,97,58,10,55
1485,0.256,0.679244657,0.98232,0.93845,0.83599,0.99589,0.99083,0.47385,0.94977,0.86555,0.95004,0.98082,0.92741,0,50,97,58,50,70
2300,0.25541,0.678947384,0.98912,0.94307,0.84737,0.97192,0.97685,0.47491,0.95138,0.8697,0.94381,0.98424,0.93238,0,55,88,58,90,55
769,0.25619,0.677704478,0.95463,0.93992,0.84067,0.99976,0.99011,0.47287,0.94626,0.86972,0.96706,0.98204,0.92835,0,50,91,63,70,40
1898,0.25696,0.677486395,0.99047,0.94228,0.8387,0.98441,0.98449,0.47602,0.95044,0.8688,0.94067,0.98341,0.93156,0,50,100,58,80,55
3830,0.25475,0.677384626,0.96162,0.93998,0.83598,0.99919,0.98787,0.47178,0.94652,0.86894,0.96487,0.98236,0.92865,0,55,100,58,1,55
1903,0.25726,0.676984012,0.99936,0.9445,0.85347,0.98511,0.98047,0.47678,0.954,0.87029,0.90751,0.98533,0.93407,0,50,100,58,90,40
292,0.2559,0.676588506,0.99036,0.94008,0.85063,0.97526,0.9874,0.47581,0.95118,0.86624,0.93713,0.98275,0.92936,0,50,88,58,40,85
293,0.2559,0.676588506,0.99036,0.94008,0.85063,0.97526,0.9874,0.47581,0.95118,0.86624,0.93713,0.98275,0.92936,0,50,88,58,40,100
1108,0.25431,0.675539453,0.99658,0.94226,0.85093,0.97671,0.97685,0.47646,0.95063,0.86817,0.92427,0.98514,0.93166,0,50,94,58,80,85
1109,0.25431,0.675539453,0.99658,0.94226,0.85093,0.97671,0.97685,0.47646,0.95063,0.86817,0.92427,0.98514,0.93166,0,50,94,58,80,100
5360,0.25482,0.674949807,0.98957,0.94138,0.84265,0.96204,0.98798,0.47309,0.95374,0.86799,0.95594,0.9803,0.93058,0,60,97,53,20,55
325,0.25662,0.674833262,0.98296,0.94488,0.85772,0.9921,0.97581,0.47979,0.95109,0.86886,0.90851,0.98817,0.93484,0,50,88,58,100,40
1077,0.25389,0.674497242,0.98397,0.93919,0.8338,0.9848,0.98684,0.47446,0.95148,0.86606,0.9524,0.98088,0.92825,0,50,94,58,30,70
1078,0.25389,0.674497242,0.98397,0.93919,0.8338,0.9848,0.98684,0.47446,0.95148,0.86606,0.9524,0.98088,0.92825,0,50,94,58,30,85
1079,0.25389,0.674497242,0.98397,0.93919,0.8338,0.9848,0.98684,0.47446,0.95148,0.86606,0.9524,0.98088,0.92825,0,50,94,58,30,100
1075,0.25479,0.674335703,0.98294,0.93895,0.84131,0.99752,0.99083,0.47469,0.95177,0.86549,0.93275,0.98069,0.92816,0,50,94,58,30,40
5752,0.25273,0.674268913,0.98935,0.9404,0.84317,0.96321,0.98381,0.47285,0.95004,0.86668,0.95954,0.97888,0.92968,0,60,100,53,10,85
5753,0.25273,0.674268913,0.98935,0.9404,0.84317,0.96321,0.98381,0.47285,0.95004,0.86668,0.95954,0.97888,0.92968,0,60,100,53,10,100
4287,0.25553,0.674127603,0.97945,0.9458,0.85681,0.98752,0.97685,0.47499,0.95311,0.87377,0.91661,0.98447,0.93496,0,60,88,58,100,70
4288,0.25553,0.674127603,0.97945,0.9458,0.85681,0.98752,0.97685,0.47499,0.95311,0.87377,0.91661,0.98447,0.93496,0,60,88,58,100,85
