Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
400,0.22428,0.623919915,0.98822,0.92587,0.80573,0.99975,0.99157,0.46788,0.93733,0.84641,0.93434,0.9666,0.91545,0,63,55,100,3,55
6130,0.21919,0.615151037,0.97642,0.92263,0.7945,0.98979,0.9928,0.46593,0.93661,0.84486,0.9627,0.96301,0.91174,0,65,58,100,4,55
3491,0.21719,0.60728109,0.97381,0.924,0.79149,0.99168,0.99185,0.46654,0.93397,0.84648,0.95817,0.96084,0.91305,0,64,58,100,4,60
3492,0.21719,0.60728109,0.97381,0.924,0.79149,0.99168,0.99185,0.46654,0.93397,0.84648,0.95817,0.96084,0.91305,0,64,58,100,4,65
3493,0.21719,0.60728109,0.97381,0.924,0.79149,0.99168,0.99185,0.46654,0.93397,0.84648,0.95817,0.96084,0.91305,0,64,58,100,4,70
1360,0.22424,0.604717472,0.99669,0.93689,0.8051,0.99996,0.99185,0.47062,0.94347,0.85761,0.87703,0.97214,0.9263,0,63,64,82,3,55
4841,0.2219,0.601578599,0.99876,0.9358,0.79407,0.99998,0.9923,0.46888,0.94327,0.85708,0.8853,0.97067,0.92498,0,64,70,80,3,60
5893,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,70
5894,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,75
5895,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,80
5896,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,85
5897,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,90
5898,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,95
5899,0.21557,0.591639524,0.98935,0.92896,0.79519,0.99952,0.9943,0.46909,0.93885,0.85109,0.89326,0.96577,0.91787,0,65,58,88,4,100
6780,0.21378,0.586600215,0.97739,0.92973,0.7893,0.99948,0.99551,0.46727,0.93124,0.85311,0.91173,0.96377,0.91835,0,65,64,88,5,55
2851,0.21096,0.58550744,0.99191,0.92571,0.79368,0.99932,0.99112,0.46899,0.93883,0.84736,0.8862,0.96631,0.91474,0,64,55,90,4,60
2852,0.21096,0.58550744,0.99191,0.92571,0.79368,0.99932,0.99112,0.46899,0.93883,0.84736,0.8862,0.96631,0.91474,0,64,55,90,4,65
5671,0.20897,0.585451042,0.98257,0.92303,0.78131,0.99215,0.99157,0.46715,0.9278,0.84469,0.93203,0.963,0.91225,0,65,55,98,6,60
3920,0.21025,0.585337455,0.97424,0.92424,0.79162,0.9966,0.99604,0.4664,0.93905,0.84659,0.91044,0.96378,0.91334,0,64,61,100,3,55
2234,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,75
2235,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,80
2236,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,85
2237,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,90
2238,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,95
2239,0.21535,0.585041633,0.99716,0.9355,0.78624,0.99893,0.99112,0.46861,0.94431,0.85721,0.87257,0.96911,0.92456,0,63,70,80,6,100
4982,0.21386,0.584579831,0.97018,0.93124,0.77993,0.99397,0.99565,0.46696,0.93828,0.85563,0.92076,0.9661,0.91962,0,64,70,86,5,65
4983,0.21386,0.584579831,0.97018,0.93124,0.77993,0.99397,0.99565,0.46696,0.93828,0.85563,0.92076,0.9661,0.91962,0,64,70,86,5,70
4984,0.21386,0.584579831,0.97018,0.93124,0.77993,0.99397,0.99565,0.46696,0.93828,0.85563,0.92076,0.9661,0.91962,0,64,70,86,5,75
4985,0.21386,0.584579831,0.97018,0.93124,0.77993,0.99397,0.99565,0.46696,0.93828,0.85563,0.92076,0.9661,0.91962,0,64,70,86,5,80
4986,0.21386,0.584579831,0.97018,0.93124,0.77993,0.99397,0.99565,0.46696,0.93828,0.85563,0.92076,0.9661,0.91962,0,64,70,86,5,85
