  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    0 2007  1       1.60     0.00     0.00    59.00     3.40 24991.20 24991.20 17018.20  2889.20   197.96   193.32    89.19     0.90     8.00     0.53     0.53     0.53    13.56     0.79    30.34     0.00     0.26     0.59    64.00 
    0 2014  2       1.00     0.00     0.00    59.60     1.20 25458.20 25458.20 17238.60  2905.80   198.04   193.23    90.02     0.90     8.00     0.25     0.25     0.25    34.88     1.00    36.53     0.00     0.24     0.52    61.80 
    0 2020  3       0.80     0.00     0.00    62.80     0.40 25848.20 25848.20 17429.00  2920.20   198.09   193.22    90.71     0.90     8.00     0.14     0.14     0.14    56.86     1.00    37.76     0.00     0.25     0.38    64.00 
    1 2007  1       1.60     0.00     0.00    60.00     1.20 24975.80 24975.80 17002.60  2883.00   198.08   193.33    89.16     0.90     8.00     0.53     0.53     0.53    13.56    23.74    30.33     0.00     0.25     0.59    62.80 
    1 2014  2       1.00     0.00     0.00    62.00     0.60 25434.60 25434.60 17224.00  2899.20   198.15   193.26    89.98     0.90     8.00     0.25     0.25     0.25    34.87    21.61    36.51     0.00     0.25     0.52    63.60 
    1 2020  3       0.60     0.00     0.00    57.60     1.00 25817.00 25817.00 17400.20  2902.80   198.16   193.19    90.65     0.90     8.00     0.14     0.14     0.14    56.84    19.42    37.74     0.00     0.23     0.38    59.20 
    2 2007  1       2.00     0.00     0.00    64.00     0.80 24994.40 24994.40 17018.60  2892.80   198.07   193.32    89.20     0.90     8.00     0.53     0.53     0.53    13.56    48.74    30.34     0.00     0.27     0.59    66.80 
    2 2014  2       0.80     0.00     0.00    64.00     1.80 25448.80 25448.80 17239.00  2910.80   198.16   193.21    90.00     0.90     8.00     0.25     0.25     0.25    34.88    46.61    36.52     0.00     0.26     0.52    66.60 
    2 2020  3       0.20     0.00     0.00    66.40     2.80 25846.20 25846.20 17431.00  2920.80   198.15   193.12    90.70     0.90     8.00     0.14     0.14     0.14    56.85    44.41    37.75     0.00     0.27     0.38    69.40 
    3 2007  1       1.40     0.00     0.00    57.00     1.20 24980.20 24980.20 17034.20  2884.80   198.06   193.21    89.17     0.90     8.00     0.53     0.53     0.53    13.56    73.74    30.33     0.00     0.24     0.59    59.60 
    3 2014  2       1.00     0.00     0.00    50.40     2.00 25432.60 25432.60 17239.60  2898.00   198.09   193.05    89.97     0.90     8.00     0.25     0.25     0.25    34.87    71.61    36.51     0.00     0.21     0.52    53.40 
