Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
1046,0.25212,0.645856593,0.87702,0.93595,0.84615,0.9989,0.99054,0.48537,0.95888,0.87883,0.98684,0.98377,0.92387,0,25,75,25,100,25
1047,0.25015,0.642350909,0.87901,0.93622,0.85147,0.99987,0.98842,0.48507,0.96499,0.87877,0.98457,0.96498,0.9243,0,25,75,25,100,50
1170,0.24544,0.635853202,0.85413,0.93716,0.85547,0.99563,0.98188,0.48205,0.95654,0.88199,0.98452,0.99035,0.92465,0,25,100,25,100,1
1045,0.24453,0.633122259,0.8797,0.93453,0.85231,0.98661,0.9843,0.485,0.95334,0.87704,0.98692,0.97339,0.92249,0,25,75,25,100,1
1040,0.24671,0.633063846,0.86944,0.93586,0.85411,0.99898,0.98973,0.48482,0.95268,0.87931,0.98831,0.96847,0.92364,0,25,75,25,75,1
1173,0.24475,0.632942528,0.85194,0.93748,0.85744,1,0.98188,0.48247,0.94879,0.88247,0.98893,0.98504,0.92497,0,25,100,25,100,75
1174,0.24475,0.632942528,0.85194,0.93748,0.85744,1,0.98188,0.48247,0.94879,0.88247,0.98893,0.98504,0.92497,0,25,100,25,100,100
1042,0.24542,0.632200473,0.86335,0.93515,0.84979,0.99745,0.98761,0.48454,0.95606,0.87914,0.98593,0.98006,0.92274,0,25,75,25,75,50
1043,0.24542,0.632200473,0.86335,0.93515,0.84979,0.99745,0.98761,0.48454,0.95606,0.87914,0.98593,0.98006,0.92274,0,25,75,25,75,75
1044,0.24542,0.632200473,0.86335,0.93515,0.84979,0.99745,0.98761,0.48454,0.95606,0.87914,0.98593,0.98006,0.92274,0,25,75,25,75,100
1160,0.24199,0.628918812,0.83547,0.93444,0.84902,0.99993,0.98821,0.47984,0.96653,0.88064,0.99297,0.98872,0.92142,0,25,100,25,50,1
1048,0.24315,0.628107481,0.8783,0.93459,0.84832,0.9989,0.98522,0.48553,0.95725,0.87726,0.99186,0.95107,0.9225,0,25,75,25,100,75
1049,0.24315,0.628107481,0.8783,0.93459,0.84832,0.9989,0.98522,0.48553,0.95725,0.87726,0.99186,0.95107,0.9225,0,25,75,25,100,100
1035,0.24281,0.625488934,0.86149,0.93367,0.84877,0.99959,0.99284,0.48358,0.95704,0.87773,0.98891,0.96845,0.92117,0,25,75,25,50,1
1162,0.24035,0.62453159,0.83309,0.93428,0.85334,0.99748,0.98954,0.47938,0.9649,0.88071,0.98468,0.99216,0.92117,0,25,100,25,50,50
1037,0.23997,0.622774423,0.8559,0.93354,0.83913,0.99857,0.98534,0.48363,0.96188,0.87802,0.99058,0.97624,0.92093,0,25,75,25,50,50
1041,0.24178,0.62237953,0.8649,0.935,0.84604,0.99922,0.98973,0.48407,0.95062,0.87886,0.99,0.96735,0.92261,0,25,75,25,75,25
1027,0.23883,0.620965321,0.84624,0.93134,0.84686,0.99989,0.99324,0.48108,0.96841,0.87618,0.98097,0.97946,0.91867,0,25,75,25,1,50
1152,0.23688,0.620730599,0.82496,0.93198,0.8527,0.99715,0.98821,0.47833,0.9633,0.87866,0.99247,0.99318,0.91881,0,25,100,25,1,50
1032,0.23894,0.620388729,0.8517,0.93129,0.84983,0.99324,0.99324,0.48194,0.96912,0.87588,0.98649,0.96925,0.91861,0,25,75,25,25,50
1038,0.23872,0.620083159,0.85654,0.93365,0.84395,0.98456,0.98534,0.4831,0.96209,0.878,0.98955,0.98018,0.92112,0,25,75,25,50,75
1039,0.23872,0.620083159,0.85654,0.93365,0.84395,0.98456,0.98534,0.4831,0.96209,0.878,0.98955,0.98018,0.92112,0,25,75,25,50,100
1172,0.23936,0.620076968,0.85122,0.93689,0.85124,1,0.98449,0.48098,0.94949,0.88203,0.9826,0.97903,0.92425,0,25,100,25,100,50
1165,0.23851,0.619006971,0.84426,0.93574,0.8518,0.98631,0.98607,0.48037,0.95935,0.88141,0.98526,0.9867,0.9229,0,25,100,25,75,1
1161,0.23649,0.618881388,0.83197,0.93491,0.84559,0.99073,0.98066,0.47955,0.96902,0.88145,0.98818,0.99185,0.92182,0,25,100,25,50,25
1036,0.23811,0.617570947,0.85601,0.93361,0.84791,0.97427,0.98684,0.4831,0.96588,0.87809,0.99066,0.97761,0.92101,0,25,75,25,50,25
1166,0.23765,0.617364979,0.84077,0.93595,0.85224,0.99479,0.98224,0.4814,0.95308,0.88205,0.98441,0.98631,0.92296,0,25,100,25,75,25
1167,0.23797,0.617205862,0.84219,0.93482,0.84775,0.99868,0.98755,0.48092,0.95409,0.88058,0.98394,0.98637,0.92191,0,25,100,25,75,50
1028,0.2368,0.615238734,0.84531,0.93214,0.84251,0.99998,0.98954,0.48232,0.95872,0.87695,0.9876,0.97883,0.91956,0,25,75,25,1,75
1029,0.2368,0.615238734,0.84531,0.93214,0.84251,0.99998,0.98954,0.48232,0.95872,0.87695,0.9876,0.97883,0.91956,0,25,75,25,1,100
1151,0.23509,0.614841193,0.82386,0.93277,0.84944,0.99996,0.98938,0.47777,0.96596,0.87966,0.9864,0.98857,0.91956,0,25,100,25,1,25
923,0.24084,0.614056764,0.91528,0.93389,0.84526,0.99993,0.9914,0.49105,0.95871,0.87312,0.99091,0.8947,0.9227,0,25,50,25,100,75
924,0.24084,0.614056764,0.91528,0.93389,0.84526,0.99993,0.9914,0.49105,0.95871,0.87312,0.99091,0.8947,0.9227,0,25,50,25,100,100
1030,0.23696,0.612198145,0.84963,0.93277,0.85296,0.99755,0.99324,0.48265,0.9629,0.8775,0.98138,0.96074,0.92014,0,25,75,25,25,1
1025,0.23631,0.612171454,0.84696,0.93136,0.84647,0.98669,0.99496,0.482,0.96361,0.87618,0.99514,0.96898,0.91868,0,25,75,25,1,1
1153,0.23199,0.611123252,0.8238,0.9313,0.84421,0.99888,0.98544,0.47785,0.96793,0.87806,0.98272,0.99307,0.91809,0,25,100,25,1,75
1154,0.23199,0.611123252,0.8238,0.9313,0.84421,0.99888,0.98544,0.47785,0.96793,0.87806,0.98272,0.99307,0.91809,0,25,100,25,1,100
1157,0.23376,0.610712513,0.82704,0.93335,0.84571,0.99989,0.98544,0.47964,0.96004,0.88008,0.98454,0.98985,0.92019,0,25,100,25,25,50
1026,0.23468,0.610532531,0.84732,0.93191,0.84481,0.99988,0.9903,0.48162,0.96126,0.87671,0.98021,0.97145,0.91926,0,25,75,25,1,25
1163,0.23385,0.609110645,0.83077,0.93474,0.83959,0.99961,0.98684,0.47894,0.95707,0.8813,0.98432,0.99208,0.92167,0,25,100,25,50,75
1164,0.23385,0.609110645,0.83077,0.93474,0.83959,0.99961,0.98684,0.47894,0.95707,0.8813,0.98432,0.99208,0.92167,0,25,100,25,50,100
1171,0.23552,0.607220189,0.85531,0.93737,0.85502,0.9557,0.98761,0.48132,0.94887,0.88234,0.99006,0.98661,0.92477,0,25,100,25,100,25
1155,0.23199,0.607036398,0.83004,0.93178,0.8448,0.99496,0.98821,0.47934,0.96017,0.87835,0.98663,0.98569,0.91851,0,25,100,25,25,1
1158,0.23185,0.606673649,0.82628,0.93283,0.84479,0.99949,0.98617,0.47909,0.96258,0.87956,0.97877,0.98942,0.91965,0,25,100,25,25,75
1159,0.23185,0.606673649,0.82628,0.93283,0.84479,0.99949,0.98617,0.47909,0.96258,0.87956,0.97877,0.98942,0.91965,0,25,100,25,25,100
1031,0.23297,0.603916647,0.8515,0.93062,0.84704,0.98354,0.99658,0.48184,0.95843,0.87521,0.98945,0.96465,0.91791,0,25,75,25,25,25
918,0.23314,0.603746845,0.89786,0.93255,0.83835,0.99808,0.98256,0.48872,0.9593,0.87318,0.99369,0.90402,0.92097,0,25,50,25,75,75
919,0.23314,0.603746845,0.89786,0.93255,0.83835,0.99808,0.98256,0.48872,0.9593,0.87318,0.99369,0.90402,0.92097,0,25,50,25,75,100
1168,0.23137,0.602205034,0.83674,0.93611,0.84481,0.97868,0.98381,0.47943,0.95476,0.8824,0.9864,0.98737,0.92312,0,25,100,25,75,75
1169,0.23137,0.602205034,0.83674,0.93611,0.84481,0.97868,0.98381,0.47943,0.95476,0.8824,0.9864,0.98737,0.92312,0,25,100,25,75,100
1033,0.23116,0.600218818,0.84627,0.93179,0.83486,0.99886,0.99083,0.48236,0.96201,0.87682,0.97437,0.97378,0.91902,0,25,75,25,25,75
1034,0.23116,0.600218818,0.84627,0.93179,0.83486,0.99886,0.99083,0.48236,0.96201,0.87682,0.97437,0.97378,0.91902,0,25,75,25,25,100
922,0.23407,0.599142832,0.91425,0.93209,0.83955,0.99903,0.9914,0.49112,0.95481,0.87142,0.99254,0.88454,0.92077,0,25,50,25,100,50
911,0.23366,0.599079689,0.88788,0.93086,0.83258,0.99902,0.99725,0.48788,0.96829,0.87231,0.98893,0.91007,0.91899,0,25,50,25,50,25
917,0.23294,0.598167088,0.89894,0.93263,0.83854,0.99976,0.99054,0.48882,0.96502,0.87319,0.9927,0.8884,0.92106,0,25,50,25,75,50
1150,0.22853,0.596103652,0.82746,0.93181,0.83847,0.99759,0.99131,0.47929,0.9561,0.87825,0.98149,0.98496,0.91872,0,25,100,25,1,1
915,0.23265,0.595406966,0.9072,0.93153,0.83438,0.977,0.99365,0.49048,0.96765,0.87138,0.99013,0.90208,0.92007,0,25,50,25,75,1
1156,0.22559,0.59229724,0.82435,0.93179,0.83815,0.99862,0.98882,0.47724,0.95804,0.87874,0.97217,0.98915,0.91845,0,25,100,25,25,25
921,0.22899,0.588192713,0.91701,0.93195,0.8404,0.98856,0.98928,0.49072,0.95834,0.871,0.98059,0.88157,0.9207,0,25,50,25,100,25
912,0.22744,0.584170206,0.89096,0.93052,0.82591,0.98252,0.99513,0.48857,0.96536,0.87158,0.99275,0.90605,0.91878,0,25,50,25,50,50
903,0.22574,0.58271629,0.88413,0.92813,0.84033,0.95726,0.99741,0.4875,0.96305,0.8695,0.98694,0.92878,0.9163,0,25,50,25,1,75
904,0.22574,0.58271629,0.88413,0.92813,0.84033,0.95726,0.99741,0.4875,0.96305,0.8695,0.98694,0.92878,0.9163,0,25,50,25,1,100
920,0.22709,0.581045044,0.91847,0.93182,0.83949,0.99999,0.9928,0.49107,0.96261,0.87082,0.98594,0.85212,0.92055,0,25,50,25,100,1
905,0.22308,0.575574676,0.88694,0.92801,0.83848,0.97714,0.99725,0.48798,0.95733,0.86936,0.98772,0.90263,0.91611,0,25,50,25,25,1
901,0.22207,0.573962732,0.88424,0.92861,0.83289,0.95726,0.99637,0.48686,0.96835,0.86999,0.9906,0.91397,0.91679,0,25,50,25,1,25
913,0.22281,0.571941329,0.88987,0.93059,0.84143,0.99604,0.99708,0.48778,0.9663,0.87182,0.98694,0.86411,0.91878,0,25,50,25,50,75
914,0.22281,0.571941329,0.88987,0.93059,0.84143,0.99604,0.99708,0.48778,0.9663,0.87182,0.98694,0.86411,0.91878,0,25,50,25,50,100
900,0.21977,0.571144178,0.88542,0.92731,0.83094,0.98488,0.99513,0.48629,0.96514,0.86855,0.98874,0.89073,0.91549,0,25,50,25,1,1
916,0.22171,0.569788085,0.90328,0.93046,0.84038,0.99171,0.99448,0.48906,0.9599,0.87065,0.98763,0.85805,0.91888,0,25,50,25,75,25
906,0.2202,0.569591998,0.88646,0.92774,0.81835,0.98859,0.99513,0.48805,0.96513,0.86926,0.98928,0.89664,0.91573,0,25,50,25,25,25
910,0.22134,0.569234939,0.8956,0.92976,0.83564,0.97796,0.99637,0.48834,0.96889,0.87046,0.98915,0.87283,0.91806,0,25,50,25,50,1
907,0.21554,0.558994395,0.88908,0.92766,0.83842,0.98043,0.99513,0.48704,0.9589,0.86855,0.99191,0.86687,0.91596,0,25,50,25,25,50
902,0.21398,0.556605563,0.88261,0.92645,0.82389,0.95664,0.99637,0.4861,0.96804,0.86789,0.98969,0.90146,0.91455,0,25,50,25,1,50
908,0.21322,0.551684569,0.88716,0.92731,0.82967,0.9634,0.99725,0.48742,0.96687,0.86848,0.99509,0.87201,0.91549,0,25,50,25,25,75
909,0.21322,0.551684569,0.88716,0.92731,0.82967,0.9634,0.99725,0.48742,0.96687,0.86848,0.99509,0.87201,0.91549,0,25,50,25,25,100
1786,0.19444,0.517313283,0.74679,0.93828,0.85157,0.92945,0.98224,0.46459,0.95438,0.89233,0.9774,0.99996,0.92302,0,50,100,25,50,25
1790,0.18918,0.505670445,0.75848,0.93925,0.85262,0.89975,0.96982,0.46764,0.94379,0.89252,0.98082,0.99954,0.92428,0,50,100,25,75,1
1652,0.1896,0.505056523,0.76651,0.93606,0.85949,0.87454,0.98017,0.46806,0.95891,0.88805,0.97934,0.99721,0.92145,0,50,75,25,1,50
1776,0.18553,0.502752331,0.73636,0.93541,0.84047,0.93518,0.97417,0.46275,0.95432,0.88986,0.97361,0.99946,0.91992,0,50,100,25,1,25
1781,0.18453,0.498536239,0.74099,0.93599,0.85016,0.91359,0.97417,0.46366,0.95542,0.89011,0.97063,0.99796,0.92066,0,50,100,25,25,25
1791,0.18569,0.496755665,0.7543,0.93961,0.85315,0.8877,0.97167,0.46583,0.943,0.89321,0.98217,0.99922,0.92457,0,50,100,25,75,25
