Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
1625,0.29086,0.736569051,0.98911,0.93525,0.86554,0.98932,0.99605,0.49346,0.96587,0.86805,0.98387,0.9785,0.92554,0,16,95,21,96,25
3481,0.28995,0.735500578,0.97828,0.93576,0.86381,0.9952,0.995,0.49212,0.96506,0.86957,0.98776,0.98044,0.92585,0,17,95,21,92,35
979,0.29,0.734453221,0.98598,0.93537,0.85936,0.9955,0.99463,0.49383,0.96525,0.86855,0.98695,0.97715,0.92556,0,16,91,21,94,35
3193,0.28893,0.733355211,0.98335,0.93457,0.8601,0.99361,0.99605,0.49282,0.9656,0.868,0.98821,0.97855,0.92467,0,17,93,21,95,35
689,0.28911,0.730488814,0.99028,0.93478,0.85848,0.99049,0.99725,0.4945,0.96381,0.86762,0.98367,0.97887,0.925,0,16,89,21,97,25
662,0.28827,0.729901599,0.99042,0.93438,0.8565,0.99156,0.99605,0.49452,0.96602,0.86717,0.9871,0.97393,0.92461,0,16,89,21,94,25
1320,0.28714,0.729714327,0.98546,0.93436,0.85534,0.99413,0.99482,0.49313,0.96453,0.86766,0.98423,0.98176,0.92446,0,16,93,21,97,30
3164,0.28624,0.728221012,0.97874,0.93471,0.85881,0.9845,0.99482,0.49193,0.96612,0.86859,0.98705,0.98727,0.92471,0,17,93,21,92,25
357,0.28707,0.727934354,0.98966,0.93512,0.85638,0.9951,0.99528,0.49334,0.96413,0.86795,0.9852,0.97173,0.92538,0,16,87,21,95,30
4461,0.28735,0.727603995,0.98057,0.93551,0.86345,0.99357,0.99765,0.49201,0.96645,0.8693,0.98356,0.97264,0.92555,0,18,89,21,96,30
330,0.28721,0.72754976,0.98819,0.93522,0.86054,0.99987,0.9959,0.49335,0.96527,0.86815,0.9833,0.96396,0.92548,0,16,87,21,92,30
691,0.28626,0.727539607,0.99086,0.9342,0.85816,0.98524,0.99416,0.49385,0.96006,0.86691,0.98669,0.98133,0.92444,0,16,89,21,97,35
16,0.2872,0.72751626,0.99149,0.93471,0.85757,0.9919,0.99605,0.494,0.96401,0.86737,0.98688,0.97005,0.92499,0,16,85,21,92,35
22,0.28727,0.727472984,0.99538,0.93572,0.85979,0.99819,0.99395,0.49418,0.96603,0.8681,0.98777,0.95374,0.92608,0,16,85,21,93,20
5400,0.28759,0.727008249,0.97916,0.93609,0.86097,0.99355,0.99725,0.49229,0.96187,0.87007,0.98592,0.97776,0.92609,0,18,95,21,96,1
5401,0.28759,0.727008249,0.97916,0.93609,0.86097,0.99355,0.99725,0.49229,0.96187,0.87007,0.98592,0.97776,0.92609,0,18,95,21,96,5
5402,0.28759,0.727008249,0.97916,0.93609,0.86097,0.99355,0.99725,0.49229,0.96187,0.87007,0.98592,0.97776,0.92609,0,18,95,21,96,10
1284,0.28675,0.726950146,0.98591,0.93495,0.85896,0.98439,0.99528,0.49348,0.96382,0.86813,0.98325,0.98419,0.92513,0,16,93,21,93,30
663,0.28638,0.726647897,0.98853,0.93472,0.86271,0.99579,0.99482,0.49369,0.9648,0.86754,0.97898,0.96919,0.92499,0,16,89,21,94,30
1636,0.28627,0.726601602,0.9845,0.93523,0.86079,0.99658,0.9937,0.49333,0.96603,0.86841,0.98202,0.96971,0.92544,0,16,95,21,97,35
644,0.28452,0.726539565,0.98734,0.93474,0.85952,0.98894,0.98778,0.49393,0.96544,0.86779,0.98072,0.97815,0.92493,0,16,89,21,92,25
665,0.28602,0.726089662,0.98654,0.93444,0.85305,0.99328,0.99395,0.49409,0.96457,0.86753,0.98799,0.97542,0.92462,0,16,89,21,94,40
2883,0.2876,0.726016603,0.987,0.93568,0.85882,0.98558,0.9981,0.49333,0.96735,0.86896,0.986,0.97375,0.92581,0,17,91,21,96,15
645,0.28593,0.725724103,0.98742,0.93445,0.86327,0.99495,0.99443,0.49396,0.96414,0.86744,0.98455,0.96469,0.92466,0,16,89,21,92,30
981,0.28671,0.725285501,0.99142,0.93546,0.86253,0.99162,0.99773,0.49295,0.96552,0.86823,0.98653,0.95992,0.92573,0,16,91,21,95,1
982,0.28671,0.725285501,0.99142,0.93546,0.86253,0.99162,0.99773,0.49295,0.96552,0.86823,0.98653,0.95992,0.92573,0,16,91,21,95,5
983,0.28671,0.725285501,0.99142,0.93546,0.86253,0.99162,0.99773,0.49295,0.96552,0.86823,0.98653,0.95992,0.92573,0,16,91,21,95,10
1633,0.28518,0.72520603,0.98711,0.93448,0.85528,0.99195,0.99348,0.49336,0.95865,0.86778,0.98068,0.98569,0.92455,0,16,95,21,97,20
