Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
1866,0.27224,0.697027872,0.93146,0.9343,0.85744,0.99899,0.99154,0.48904,0.96757,0.87235,0.97891,0.98721,0.92333,0,18,95,23,91,1
1867,0.27224,0.697027872,0.93146,0.9343,0.85744,0.99899,0.99154,0.48904,0.96757,0.87235,0.97891,0.98721,0.92333,0,18,95,23,91,10
1522,0.27099,0.694709186,0.93398,0.93345,0.85645,0.9994,0.99083,0.48983,0.96359,0.87125,0.98289,0.98296,0.92251,0,18,85,23,97,40
1524,0.272,0.694493383,0.94207,0.93471,0.85844,0.99865,0.98987,0.49112,0.96232,0.872,0.9839,0.97166,0.92389,0,18,85,23,100,1
1525,0.272,0.694493383,0.94207,0.93471,0.85844,0.99865,0.98987,0.49112,0.96232,0.872,0.9839,0.97166,0.92389,0,18,85,23,100,10
2069,0.26962,0.692005473,0.92807,0.9338,0.85332,0.99992,0.99027,0.48895,0.95908,0.87202,0.98484,0.99078,0.9228,0,18,100,23,100,50
1331,0.27085,0.691499574,0.94054,0.93443,0.85365,0.99958,0.99176,0.49055,0.96491,0.87159,0.98437,0.97079,0.9237,0,18,80,23,91,50
1511,0.26827,0.688967571,0.9346,0.93348,0.85578,0.99971,0.98888,0.48989,0.96511,0.87127,0.98128,0.97468,0.92253,0,18,85,23,91,50
800,0.26778,0.688934087,0.95632,0.93069,0.84051,0.99824,0.98878,0.49307,0.96351,0.86645,0.98388,0.97318,0.92011,0,13,95,23,97,20
1706,0.26989,0.688003241,0.93944,0.93492,0.85742,0.99407,0.99241,0.49034,0.96198,0.87235,0.98387,0.97103,0.92411,0,18,90,23,100,20
2408,0.26976,0.687050863,0.92138,0.93585,0.86089,0.99606,0.99482,0.48783,0.95652,0.87501,0.99154,0.97973,0.92464,0,23,80,23,91,20
2415,0.26727,0.686358083,0.92331,0.93491,0.86058,0.99826,0.98944,0.4876,0.96215,0.87373,0.98211,0.97948,0.92378,0,23,80,23,94,30
2405,0.26812,0.685735318,0.91601,0.93551,0.85754,0.99825,0.99241,0.48717,0.96728,0.87503,0.98543,0.9807,0.92423,0,23,80,23,88,50
2054,0.26802,0.685677604,0.92782,0.93416,0.85744,0.99995,0.99324,0.48857,0.963,0.87268,0.98533,0.9724,0.92302,0,18,100,23,94,20
1709,0.26874,0.685422001,0.93281,0.93437,0.85228,0.99881,0.99351,0.48992,0.96231,0.87232,0.98049,0.97909,0.92343,0,18,90,23,100,50
1330,0.26759,0.684938804,0.94147,0.9338,0.85492,0.99741,0.99209,0.48987,0.96556,0.87087,0.98198,0.96363,0.92307,0,18,80,23,91,40
1862,0.26581,0.684471703,0.92864,0.93336,0.85082,0.99976,0.98631,0.48974,0.96255,0.87175,0.98663,0.97757,0.92223,0,18,95,23,88,20
2064,0.26704,0.684375442,0.93287,0.9344,0.85681,0.99845,0.98888,0.48979,0.96078,0.87241,0.98553,0.96925,0.92342,0,18,100,23,100,1
2065,0.26704,0.684375442,0.93287,0.9344,0.85681,0.99845,0.98888,0.48979,0.96078,0.87241,0.98553,0.96925,0.92342,0,18,100,23,100,10
1881,0.26753,0.684369046,0.92868,0.93349,0.84991,0.9989,0.99555,0.48831,0.96475,0.87172,0.98351,0.98,0.92245,0,18,95,23,97,30
